"","SARS-CoV2 E","SARS-CoV2 M","SARS-CoV2 N","SARS-CoV2 Spike","SARS-CoV2 nsp1","SARS-CoV2 nsp10","SARS-CoV2 nsp11","SARS-CoV2 nsp12","SARS-CoV2 nsp13","SARS-CoV2 nsp14","SARS-CoV2 nsp15","SARS-CoV2 nsp2","SARS-CoV2 nsp4","SARS-CoV2 nsp5","SARS-CoV2 nsp5_C145A","SARS-CoV2 nsp6","SARS-CoV2 nsp7","SARS-CoV2 nsp8","SARS-CoV2 nsp9","SARS-CoV2 orf10","SARS-CoV2 orf3a","SARS-CoV2 orf3b","SARS-CoV2 orf6","SARS-CoV2 orf7a","SARS-CoV2 orf8","SARS-CoV2 orf9b","SARS-CoV2 orf9c","SARS-CoV2 NCAP","SARS-CoV2 NS6","SARS-CoV2 NS7A","SARS-CoV2 R1A","SARS-CoV2 R1AB","SARS-CoV2 S","SARS-CoV2 Y14","SARS-CoV2 PLpro"
"DB00028",4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,6,4,4,3,4,6,3
"DB01611",4,4,4,2,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,3,4,4
"DB12534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB11817",3,3,3,4,4,3,4,3,3,4,3,3,4,3,4,4,3,4,3,3,4,4,4,4,3,3,4,4,5,4,3,3,3,5,3
"DB00207",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,4,3,4,4,4,6,4,4,4,4,6,4
"DB00169",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,5,4
"DB00602",4,4,4,4,4,4,5,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,6,4,4,4,4,6,4
"DB06803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00435",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,6,4,4,4,4,6,4
"DB09152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB15655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01211",4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,4,4,6,4
"DB06699",5,4,5,4,5,4,5,4,4,5,4,5,5,5,5,4,4,5,4,5,4,5,5,4,3,4,3,5,6,5,4,4,5,6,5
"DB01109",4,3,3,3,4,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,5,3,3,3,3,5,3
"DB09153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00863",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4
"DB00755",4,4,3,3,4,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,5,4,3,3,4,5,4
"DB11863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00072",4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,4,6,4,4,3,4,6,3
"DB06366",4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,3,3,4,6,4,4,3,4,6,3
"DB14803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01234",4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,3,3,4,3,3,4,4,4,3,3,4,3,5,3,3,3,3,5,3
"DB00619",3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,5,3,3,3,3,5,3
"DB06228",4,3,4,3,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,3,4,6,4
"DB01225",4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,3,4,6,4
"DB00959",4,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,3,3,4,3,5,3,3,3,3,5,3
"DB01601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00503",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4
"DB06273",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,3,4,6,4
"DB00319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00966",4,3,3,3,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,4,5,4,3,3,4,5,4
"DB00876",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB01029",3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3
"DB13919",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB11842",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB00678",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB00275",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB00177",4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB06812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB12038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB06292",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,5
"DB06403",4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,6,4,4,4,4,6,3
"DB14828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB12466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00091",3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,2,4,4
"DB00507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00811",4,3,3,4,4,4,4,1,3,1,3,3,4,3,4,4,3,3,3,4,4,4,3,4,3,4,3,3,5,3,3,3,3,5,1
"DB15661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01394",3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,3,3,3,4,5,4,3,3,3,5,3
"DB00975",4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,5,4,3,3,3,5,4
"DB11580",4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,4,4,4,5,4,5,4,4,4,4,6,4,4,4,4,6,3
"DB00302",4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,5,4,3,3,4,5,4
"DB08895",3,4,3,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,3,5,3,3,3,3,5,3
"DB00746",4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,4,5,4,3,3,3,5,4
"DB04897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00675",3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,3,3,5,3
"DB00982",4,4,3,3,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,4,5,4,3,3,4,5,4
"DB00927",5,4,4,4,5,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,4,5,5,4,4,4,4,4,6,4,4,4,4,6,5
"DB00471",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,4,4,3,4,6,4
"DB14767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01001",4,3,4,3,4,4,4,3,3,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,3,3,3,4,5,4,3,3,4,5,3
"DB00003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB09274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB13132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB06515",4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,3,4,4,4,6,4,4,4,4,6,4
"DB00146",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,5,4
"DB00107",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6,4,4,3,4,6,4
"DB11767",4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,3,4,6,4
"DB00742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00060",4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,3
"DB09113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00848",4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB13156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB08954",4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,6,4,4,4,4,6,3
"DB00608",3,4,4,2,3,4,4,3,3,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,4,4,4,2,2,4,4,3
"DB01050",3,3,3,3,4,3,4,3,3,4,4,4,4,3,4,3,3,4,3,3,4,4,3,4,3,3,3,4,5,3,3,3,3,5,4
"DB15636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB15035",3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,4,5,4,3,3,3,5,3
"DB04977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01410",4,3,3,3,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,3,3,4,4,5,4,3,3,4,5,4
"DB12849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB11803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB11703",3,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,4,4,5,4,3,3,3,5,4
"DB13127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01076",4,3,3,3,4,4,4,3,3,4,4,4,4,2,4,4,3,3,3,3,4,4,4,4,3,4,3,3,5,3,3,3,3,5,3
"DB01042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00105",4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,3
"DB05258",4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4
"DB01373",3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,5,3,3,3,3,5,4
"DB15446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB11997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01593",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3
"DB08877",3,4,3,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,5,4,3,3,3,5,3
"DB14644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00472",4,3,3,4,3,4,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,3,4,6,4,4,3,4,6,4
"DB09241",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,6,4,4,3,4,6,4
"DB06303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB09053",3,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,4,4,5,4,3,3,3,5,4
"DB00877",4,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,3,5,3,3,3,3,5,4
"DB01390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB01222",4,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,3,3,4,3,5,3,3,3,3,5,3
"DB06151",4,3,3,3,4,3,4,3,3,4,4,3,4,3,3,4,3,4,3,4,4,4,4,4,3,3,3,4,5,4,3,3,4,5,3
"DB01128",3,3,3,3,3,3,4,3,3,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,3,4,3,4,5,4,3,3,4,5,3
"DB12668",4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,3,3,4,5,4
"DB15687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB13729",4,3,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,5,4,3,3,4,5,4
"DB09322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB08813",3,3,3,3,3,3,4,3,3,3,4,3,4,3,4,4,3,3,3,3,4,4,3,3,3,3,3,4,5,3,3,3,3,5,3
"DB06779",4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,5,3,3,3,3,5,3
"DB06822",4,3,3,3,4,3,4,3,3,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,4,5,4,3,3,3,5,3
"DB12768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB11952",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,3,4,6,3
"DB00343",4,4,4,4,4,4,5,4,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,4
"DB08882",4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,6,4,4,4,4,6,4
"DB00254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB02285",4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,5,4,5,3,4,4,4,6,4,4,3,4,6,4
"DB09570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00198",4,4,4,4,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,3,4,4,6,4,4,3,4,6,4
"DB13973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00126",4,3,3,4,3,4,4,3,3,4,3,3,3,3,4,3,3,4,3,3,4,4,4,4,2,3,3,3,5,3,3,3,3,5,3
"DB00151",4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,4,3,3,4,4,3,4,3,4,3,3,3,3,5,3,3,3,3,5,4
"DB12510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DB00945",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,3
"DB00569",4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4,3,4,6,4
"DB00775",4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,6,4,4,3,4,6,4
"DB00758",4,3,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,6,4,4,4,4,6,4
"DB00477",3,3,3,3,4,3,4,3,3,4,3,3,3,4,4,4,3,3,3,4,3,4,3,3,3,4,3,3,5,3,3,3,3,5,4
